212:Date,Filter,Position,Lidar,Sonar
222:,False,-38.57142857142857,53.23377358490567,55.480399999999996,
222:,False,-42.85714285714286,54.495384615384616,54.4336,
222:,False,-47.142857142857146,53.544691943127965,55.480399999999996,
718:,False,-51.42857142857143,54.17545454545455,55.480399999999996,
718:,False,-55.714285714285715,55.14456310679612,55.480399999999996,
718:,False,-60.00000000000001,53.31122786304605,55.480399999999996,
718:,False,-64.28571428571429,55.22659781287971,55.480399999999996,
718:,False,-68.57142857142857,53.779821640903684,55.480399999999996,
229:,False,-72.85714285714286,54.818405797101455,56.5272,
230:,False,-77.14285714285714,56.65233250620347,55.480399999999996,
230:,False,-81.42857142857143,53.85857142857143,55.480399999999996,
230:,False,-85.71428571428572,54.818405797101455,55.480399999999996,
230:,False,-90.0,54.495384615384616,55.480399999999996,
725:,False,-94.28571428571429,54.17545454545455,54.4336,
726:,False,-98.57142857142858,57.083183520599256,55.480399999999996,
726:,False,-102.85714285714286,54.33503597122303,55.480399999999996,
726:,False,-107.14285714285715,53.70125890736342,56.5272,
726:,False,-111.42857142857143,51.870184757505776,55.480399999999996,
222:,False,-115.71428571428571,53.23377358490567,55.480399999999996,
222:,False,-120.00000000000001,55.39126674786845,56.5272,
222:,False,-124.28571428571429,53.62288256227759,55.480399999999996,
222:,False,-128.57142857142858,55.47390243902439,55.480399999999996,
222:,False,-132.85714285714286,51.355085910652924,56.5272,
736:,False,-137.14285714285714,55.639779951100245,55.480399999999996,
736:,False,-141.42857142857142,54.17545454545455,56.5272,
736:,False,-145.71428571428572,55.97398034398035,56.5272,
736:,False,-150.0,54.495384615384616,55.480399999999996,
736:,False,-154.28571428571428,54.17545454545455,55.480399999999996,
229:,False,-158.57142857142858,55.39126674786845,55.480399999999996,
229:,False,-162.85714285714286,56.22679408138101,55.480399999999996,
229:,False,-167.14285714285714,55.97398034398035,54.4336,
229:,False,-171.42857142857144,54.17545454545455,55.480399999999996,
229:,False,-175.71428571428572,53.85857142857143,55.480399999999996,
726:,False,-180.0,53.00250293772033,54.4336,
726:,False,-184.2857142857143,54.575848375451265,55.480399999999996,
726:,False,-188.57142857142858,56.910199252801995,55.480399999999996,
726:,False,-192.85714285714286,54.575848375451265,56.5272,
726:,False,-197.14285714285717,52.696666666666665,55.480399999999996,
237:,False,-201.42857142857144,54.899649334945586,55.480399999999996,
237:,False,-205.71428571428572,55.8901226993865,55.480399999999996,
237:,False,-210.00000000000003,51.5748275862069,55.480399999999996,
237:,False,-214.2857142857143,54.818405797101455,55.480399999999996,
237:,False,-218.57142857142858,54.17545454545455,55.480399999999996,
